========================================
General Configuration:
	Wighting: ITL
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
ITL Configuration:
	weighting: ITL
	task_idx: 0
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-06
========================================
Total Params: 11573572
Trainable Params: 11573572
Non-trainable Params: 0
========================================
LOG FORMAT | Art_LOSS Acc | Clipart_LOSS Acc | Product_LOSS Acc | Real_World_LOSS Acc | TIME
Epoch: 0035 | TRAIN: 0.0139 0.9935 | 4.1744 0.0160 | 4.1744 0.0183 | 4.1744 0.0160 | Time: 121.9032 | VAL: 2.4739 0.5054 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.8057 | TEST: 2.6319 0.5009 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.2963
Epoch: 0036 | TRAIN: 0.0154 0.9939 | 4.1744 0.0194 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 122.3924 | VAL: 2.4724 0.5011 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.9879 | TEST: 2.6375 0.4877 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.8633
Epoch: 0037 | TRAIN: 0.0143 0.9931 | 4.1744 0.0175 | 4.1744 0.0183 | 4.1744 0.0160 | Time: 121.0900 | VAL: 2.4852 0.5247 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.4903 | TEST: 2.6570 0.4972 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.4444
Epoch: 0038 | TRAIN: 0.0156 0.9920 | 4.1744 0.0175 | 4.1744 0.0179 | 4.1744 0.0145 | Time: 120.1207 | VAL: 2.5078 0.5161 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.6612 | TEST: 2.6711 0.5066 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.7501
Epoch: 0039 | TRAIN: 0.0094 0.9939 | 4.1744 0.0179 | 4.1744 0.0179 | 4.1744 0.0156 | Time: 120.7384 | VAL: 2.4665 0.5183 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 39.2118 | TEST: 2.6306 0.5009 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.8297
Epoch: 0040 | TRAIN: 0.0116 0.9939 | 4.1744 0.0179 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 121.6194 | VAL: 2.4259 0.5204 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.1903 | TEST: 2.5822 0.5028 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.5563
Epoch: 0041 | TRAIN: 0.0134 0.9943 | 4.1744 0.0179 | 4.1744 0.0183 | 4.1744 0.0164 | Time: 121.6055 | VAL: 2.4968 0.5204 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.5128 | TEST: 2.6249 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.4875
Epoch: 0042 | TRAIN: 0.0116 0.9928 | 4.1744 0.0168 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 120.1069 | VAL: 2.5214 0.5247 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.8343 | TEST: 2.6478 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.3708
Epoch: 0043 | TRAIN: 0.0088 0.9962 | 4.1744 0.0171 | 4.1744 0.0183 | 4.1744 0.0160 | Time: 121.4208 | VAL: 2.4846 0.5118 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.7713 | TEST: 2.6232 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.9148
Epoch: 0044 | TRAIN: 0.0093 0.9950 | 4.1744 0.0191 | 4.1744 0.0183 | 4.1744 0.0145 | Time: 121.6786 | VAL: 2.4872 0.5226 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.6266 | TEST: 2.6470 0.4972 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.2662
Epoch: 0045 | TRAIN: 0.0129 0.9920 | 4.1744 0.0179 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 122.2205 | VAL: 2.5154 0.5269 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.4117 | TEST: 2.6402 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.7362
Epoch: 0046 | TRAIN: 0.0112 0.9954 | 4.1744 0.0179 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 120.7004 | VAL: 2.5414 0.5204 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 40.0092 | TEST: 2.6677 0.5028 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.5928
Epoch: 0047 | TRAIN: 0.0130 0.9943 | 4.1744 0.0160 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 121.4110 | VAL: 2.5454 0.5183 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 40.0226 | TEST: 2.6972 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.5578
Epoch: 0048 | TRAIN: 0.0097 0.9947 | 4.1744 0.0175 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 121.5176 | VAL: 2.4790 0.5247 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.7006 | TEST: 2.6678 0.5009 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.2905
Epoch: 0049 | TRAIN: 0.0156 0.9924 | 4.1744 0.0179 | 4.1744 0.0179 | 4.1744 0.0160 | Time: 120.1939 | VAL: 2.4599 0.5290 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 39.6856 | TEST: 2.6545 0.5028 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.5362
Epoch: 0050 | TRAIN: 0.0128 0.9935 | 4.1744 0.0183 | 4.1744 0.0183 | 4.1744 0.0145 | Time: 120.8980 | VAL: 2.4813 0.5204 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.0711 | TEST: 2.6733 0.4934 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.2639
